pet_name,species_name,breed_name,gender,vet_last_name,record_date,next_visit_date,description
Toby,Dog,German Shepherd,M,Keller,2024-05-18 00:00:00,,Annual checkup. Vaccinated.
Zoe,Cat,Mixed,F,Becker,2024-07-11 00:00:00,,Minor skin irritation treated.
Toby,Dog,German Shepherd,M,Keller,2024-05-18 00:00:00,2024-05-28,"Eye infection, medication prescribed."
Zoe,Cat,Mixed,F,Schmidt,2024-07-11 00:00:00,,"No issues found, healthy."
Luna,Cat,Mixed,M,Keller,2024-04-12 00:00:00,,Ear cleaning done.
Charlie,Dog,Mixed,F,Schmidt,2024-07-15 00:00:00,2024-07-16,Vaccination booster administered.
Leo,Cat,Bengal,F,Keller,2025-06-14 00:00:00,2025-07-11,Checkup before adoption.
Milo,Cat,Mixed,M,Becker,2025-03-17 00:00:00,,Routine grooming and nail trimming.
Toby,Dog,German Shepherd,M,Keller,2024-05-18 00:00:00,2024-05-30,Routine grooming and nail trimming.
Buster,Dog,Mixed,M,Keller,2024-04-11 00:00:00,2024-04-25,Follow-up required in 2 weeks.
Buddy,Dog,German Shepherd,F,Keller,2024-05-12 00:00:00,,Routine post-adoption visit.
Luna,Cat,Mixed,M,Keller,2024-04-10 00:00:00,2024-04-24,"Allergy symptoms, diet adjusted."
Simba,Dog,Mixed,F,Keller,2025-03-24 00:00:00,,Routine grooming and nail trimming.
Zoe,Cat,Mixed,F,Schmidt,2024-07-11 00:00:00,2025-06-17,Checkup before adoption.
Buster,Dog,Mixed,M,Keller,2024-06-04 00:00:00,2024-06-18,Follow-up required in 2 weeks.
Luna,Cat,Mixed,M,Keller,2024-05-02 00:00:00,2024-05-16,Antiparasitic treatment applied.
Hunter,Dog,Dachshund,M,Keller,2025-06-15,,Routine grooming and nail trimming.
Kitty,Cat,Mixed,F,Keller,2025-06-15,,Routine grooming and nail trimming.
Rex,Dog,Mixed,M,Voigt,2025-06-15,,Routine grooming and nail trimming.
Mochi,Cat,Mixed,F,Keller,2025-06-15,,Ear cleaning done.
Cleo,Cat,Mixed,F,Voigt,2025-06-15,,Routine grooming and nail trimming.
Cooper,Dog,Mixed,M,Voigt,2025-06-15,,Ear cleaning done.
Leo,Cat,Bengal,F,Keller,2025-06-15,,Routine grooming and nail trimming.
Buddy,Dog,German Shepherd,F,Voigt,2025-06-15,,Ear cleaning done.